customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
3500-QLIE,Female,1,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),36.14,1318.6
7306-NCGC,Male,0,No,No,8,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),70.17,550.28
7569-MGJS,Male,0,No,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.78,2365.69
9478-OEEG,Female,0,Yes,No,24,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.98,1569.91
5992-QKCY,Male,0,No,No,61,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),88.85,5315.45
1915-NNKD,Male,0,No,No,39,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.09,3101.0
1274-ZOZO,Female,0,Yes,Yes,46,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.19,2608.41
5156-MZOA,Male,1,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,96.53,580.8
6291-QKXL,Male,0,No,No,16,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,93.15,1432.87
9941-LAYW,Female,1,No,No,9,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.33,792.59
8880-DFAW,Male,0,Yes,No,39,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),82.44,3206.92
4875-BIXG,Female,0,No,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,93.38,5614.95
1877-MUNO,Male,0,Yes,Yes,10,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),90.34,896.36
6834-VVDD,Female,1,No,No,67,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),92.93,6049.79
9944-NLCH,Male,0,No,Yes,12,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),79.83,914.43
7136-JBQI,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.88,4535.83
1055-VJOM,Female,0,No,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,87.3,
7794-UWFA,Female,0,Yes,Yes,16,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,87.42,1303.56
7038-PWKL,Male,0,No,No,31,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.62,2673.27
6245-WCUQ,Male,0,Yes,No,14,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,77.1,1082.51
9207-CLSV,Female,0,Yes,No,18,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,63.07,1119.07
2698-PEOE,Female,0,Yes,No,36,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.5,2417.44
9591-NCSK,Male,0,No,No,66,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.52,4362.59
7971-PVDF,Male,0,Yes,Yes,10,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,81.25,814.19
8310-YFTR,Female,0,Yes,No,27,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,57.15,1459.49
9316-LCPH,Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,89.36,2644.08
1224-UEZV,Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,27.45,548.3
7987-YMPK,Male,0,No,No,14,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,71.0,975.75
6971-TYUA,Female,0,No,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,106.54,1240.26
4341-CEVI,Female,0,No,No,29,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,74.67,2143.26
3166-CPNB,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),93.17,896.56
5466-BNBR,Male,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.56,2668.38
8234-FUUQ,Male,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),79.56,688.83
8650-YVBV,Male,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,29.82,1190.79
6651-QEQY,Male,1,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),93.88,655.62
4856-OXFH,Female,1,No,Yes,35,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),100.42,3426.14
3176-SKDR,Male,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.37,505.36
3766-KCLV,Male,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),40.18,376.11
3391-GZYK,Female,0,No,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.29,1980.61
9731-DQJP,Male,0,Yes,No,5,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),67.68,323.3
6493-HYDU,Male,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,38.63,2425.74
4541-GTWF,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,41.13,458.3
3565-QLRI,Female,0,Yes,No,49,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),73.54,3447.25
7202-ONRN,Female,0,No,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.0,486.71
5939-LPLO,Female,1,No,No,24,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,80.0,1817.01
2225-BQJG,Female,1,No,No,17,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,80.94,1331.68
6049-FAYW,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.52,743.12
6297-ZVFT,Male,0,Yes,No,44,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),52.91,2326.53
4633-LPTD,Male,1,Yes,Yes,10,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,57.14,532.02
7700-PYAX,Female,0,Yes,No,20,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.33,1585.03
7505-RZOK,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),35.11,924.01
2685-TGOM,Female,1,Yes,No,56,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Mailed check,51.69,3031.89
7407-QJXO,Female,0,Yes,No,20,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),86.42,1645.28
8789-HVYI,Female,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.52,3171.12
9307-XNSU,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.59,1017.33
1129-XPNI,Male,0,Yes,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.76,960.57
8739-HABT,Female,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.35,3590.07
8949-YKRP,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,92.22,710.59
5165-DNBK,Male,0,No,Yes,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,93.26,1972.11
2460-EZKX,Male,0,No,No,57,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,85.08,5097.77
4525-CWSS,Female,1,Yes,No,36,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,78.6,2665.16
6098-CPYX,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,99.59,3262.52
5105-UHWF,Female,0,No,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),89.21,611.0
6646-FIMM,Male,0,Yes,No,13,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Electronic check,88.32,1072.75
1765-IFQU,Female,1,Yes,Yes,3,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,71.38,204.94
6738-EACS,Male,0,No,No,4,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.29,262.71
7307-IMYK,Male,0,No,No,23,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,71.53,1543.2
8070-ZHHZ,Male,0,No,No,16,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,72.77,1070.43
8954-FGOP,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,83.12,1711.26
