customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
5592-YOOS,Male,0,No,No,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,101.35,2865.88
4829-JERM,Female,0,No,No,46,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.24,3932.96
7750-WSCS,Male,0,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,34.7,32.75
6836-SPRK,Male,0,No,No,40,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,88.04,3395.71
1572-ECIP,Male,0,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Mailed check,100.23,1449.43
5436-KQRB,Male,1,No,No,56,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.39,5191.03
8069-VKVJ,Male,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,94.15,5407.67
2646-WKUP,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),114.85,4439.72
9724-QAFA,Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),95.11,758.62
5323-TRJN,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.52,1150.11
6801-NLJS,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),99.0,197.06
5914-FWVY,Male,0,No,No,22,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.25,1758.63
8055-UPZF,Female,0,No,Yes,35,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,92.29,2819.84
7487-QGFM,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),98.87,366.6
8612-KWMH,Female,0,Yes,No,15,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,52.02,751.96
7191-RQYO,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),101.72,2305.17
6942-TKCR,Male,1,No,Yes,11,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,96.33,958.44
9782-SZNF,Female,0,No,No,21,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,79.14,1735.98
9211-DBJH,Male,0,No,No,11,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,68.77,756.47
2074-ANKB,Female,0,Yes,No,41,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,88.05,3581.25
8471-OPRJ,Male,0,No,Yes,63,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,107.69,6612.11
8155-MWTZ,Male,1,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,90.12,1112.38
3569-MIUS,Male,0,No,Yes,31,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),71.46,2217.74
3805-UAQK,Female,0,Yes,No,22,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),111.13,2428.56
9452-EBIE,Female,0,No,Yes,48,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),70.31,3244.53
6580-VOSB,Female,0,No,Yes,49,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),90.54,4410.07
1431-ZISM,Female,1,Yes,Yes,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,93.08,3182.12
3565-QLRI,Female,0,Yes,No,49,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),73.54,3447.25
8204-CMSJ,Female,0,No,No,30,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),107.16,3293.13
